operator,class,bugSeverity,stubborn,killed,subject,categories,labels,testRequirement,candidate
SubtreeInsert,noneq,2.0,2.0,False,claroline,['unExpectedElements'],['missingInfo'],['assert'],SubtreeInsert_EnrolMultipleUsersTest_55_-HTML1-BODY1-DIV1-DIV1-DIV1
StylePosition,noneq,0.5,2.0,False,claroline,['wrongPosition'],['cosmetic'],['assert'],StylePosition_AddEmptyCourseTest_35_-HTML1-BODY1-DIV1-DIV2-FORM1-FIELDSET1-DIV1-DL1-DT1-SPAN1
SubtreeDelete,noneq,2.0,2.0,False,claroline,['missingElements'],['missingInfo'],['assert'],SubtreeDelete_AddCourseExerciseQuestionsTest_43_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV3-DIV2-FORM1-TABLE1-TBODY1-TR1-TD2-SPAN1-TABLE1-TBODY1-TR1-TD1-DIV1-SPAN1-TABLE1-TBODY1-TR1-TD10
EventHandlerAdd,eq,0.5,0.0,False,claroline,['none'],['none'],['none'],EventHandlerAdd_AddCourseEventTest_34_-HTML1-BODY1-DIV1-DIV1-DIV3-DIV2-A1
StyleVisibility,eq,0.5,0.0,False,claroline,['none'],['none'],['none'],StyleVisibility_AddUserTest_23_-HTML1-BODY1-DIV1-DIV1-DIV2-DIV1-UL1
StyleColor,eq,0.5,0.0,False,claroline,['none'],['none'],['none'],StyleColor_AddCourseTest_70_-HTML1-BODY1-DIV1-DIV1-DIV3-DIV1-UL1-LI1
AttributeAdd,eq,0.5,0.0,False,claroline,['none'],['none'],['none'],AttributeAdd_AddCourseExerciseTest_35_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV3-DIV2-FORM1-FIELDSET1-DL1-DD2-DIV1-SPAN1-TABLE1-TBODY1-TR1-TD1-DIV1-SPAN1-TABLE1-TBODY1-TR1-TD2-SPAN1-TABLE1
AttributeReplace,noneq,2.5,3.0,True,collabtive,"['wrongElementState', 'brokenEventHandling']","['wrongPage', 'codeError']",['executeAssertImmediate'],AttributeReplace_CloseTasksProjectPercentageTest_43_-HTML1-BODY1-DIV1-DIV2-DIV3-DIV1-FORM1-FIELDSET1-BUTTON1
StyleColor,noneq,0.5,2.0,False,collabtive,['wrongColor'],['cosmetic'],['assert'],StyleColor_OpenMilestoneTest_38_-HTML1-BODY1-DIV1-DIV2-DIV3-DIV2-H21-A1
SubtreeMove,noneq,2.5,2.0,False,collabtive,"['brokenLink', 'missingElements']","['wrongPage', 'missingInfo']",['execute'],SubtreeMove_EditRoleTest_36_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1-DIV5-DIV2-DIV1-TABLE1-TBODY1-TR5-TD1
SubtreeInsert,noneq,2.0,2.0,False,collabtive,['unExpectedElements'],['missingInfo'],['assert'],SubtreeInsert_EditUserRoleTest_38_-HTML1-BODY1-DIV1
AttributeAdd,noneq,2.5,3.0,False,collabtive,['brokenEventHandling'],['codeError'],"['execute', 'executeAssertImmediate']",AttributeAdd_CloseMilestoneTest_39_-HTML1-BODY1-DIV1-DIV2-DIV3-DIV3-DIV1-UL1-LI1-A1
StyleSize,noneq,0.5,2.0,False,collabtive,"['wrongSize', 'wrongPosition']",['cosmetic'],['assert'],StyleSize_CloseTasksTest_44_-HTML1-BODY1-DIV1-DIV2-DIV3-DIV2-DIV1-FORM1-SELECT1
StyleColor,noneq,0.5,2.0,False,collabtive,['wrongColor'],['cosmetic'],['assert'],StyleColor_OpenTasksProjectPercentageTest_51_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1-DIV3-DIV5-DIV2-TABLE1-TBODY10
StyleSize,noneq,0.5,2.0,True,collabtive,['wrongPosition'],['cosmetic'],['assert'],StyleSize_AddProjectTest_49_-HTML1-BODY1-DIV1-DIV1-DIV1-DIV1-DIV2-UL1-LI3-A1
TextReplace,noneq,2.0,2.0,False,collabtive,['wrongElements'],['missingInfo'],['assert'],TextReplace_EditProjectTest_36_-HTML1-BODY1-DIV1-DIV2-DIV3-DIV2-H21-A1
SubtreeDelete,noneq,2.5,1.0,True,collabtive,"['brokenLink', 'missingElements']","['wrongPage', 'missingInfo']",['find'],SubtreeDelete_AssignUserToProjectTest_43_-HTML1-BODY1-DIV1-DIV2-DIV3
TextReplace,noneq,2.0,2.0,False,collabtive,['wrongElements'],['missingInfo'],['assert'],TextReplace_CloseTasklistTest_37_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1-DIV3-DIV5-DIV2-TABLE1-TBODY5-TR1-TD2-DIV1-STRONG1
SubtreeDelete,noneq,2.0,1.0,False,collabtive,['missingElements'],['missingInfo'],['find'],SubtreeDelete_AddAndRemoveMultipleTasksTest_45_-HTML1-BODY1-DIV1-DIV2-DIV3-DIV3-DIV1-UL1
